ORDER,VARIABLE,DESCRIPTION,CATEGORY
203,HSRE010,Computer equipment and supplies,Recreation
204,HSRE012,Computer software and video game systems,Recreation
205,HSRE013,Computer software,Recreation
206,HSRE014,Video game systems and parts for personal computers,Recreation
207,HSRE111,App downloads,Recreation
208,HSRE112,Game downloads,Recreation
209,HSRE015,Computer supplies and other equipment,Recreation
210,HSRE011,Computer hardware,Recreation
211,HSRE110,Tablet computers,Recreation
212,HSRE114,E-book readers,Recreation
213,HSRE119,Wearable electronic devices,Recreation
214,HSRE016,Photographic goods and services,Recreation
215,HSRE120,"Camcorders, cameras, parts, accessories and related equipment",Recreation
216,HSRE020,Photographic services,Recreation
217,HSRE004,Outdoor play equipment and accessories,Recreation
218,HSRE005,Children's toys,Recreation
219,HSRE006,Video game systems and accessories,Recreation
220,HSRE007,Art and craft materials,Recreation
221,HSRE032,Other recreational equipment,Recreation
222,HSRE021,"Musical instruments, parts and accessories",Recreation
223,HSRE023,"Camping, picnic equipment and accessories",Recreation
224,HSRE024,Supplies and parts for recreational equipment,Recreation
225,HSRE040,Home entertainment equipment and services,Recreation
226,HSRE041,Home entertainment equipment,Recreation
227,HSRE080,Audio equipment (portable and non-portable) and home theatre systems,Recreation
228,HSRE045,Video equipment,Recreation
229,HSRE082,"DVD players, Blu-Ray players and other video equipment and accessories",Recreation
230,HSRE116,Televisions,Recreation
231,HSRE076,"Pre-recorded media, music downloads and blank audio and video media",Recreation
232,HSRE050,"Pre-recorded audio and video cassette tapes, compact discs and DVDs",Recreation
233,HSRE051M,"Blank audio and video tapes, CDs, DVDs and iTunes and other music downloads",Recreation
234,HSRE052,Home entertainment services,Recreation
235,HSRE060,Recreational services,Recreation
236,HSRE061,Entertainment,Recreation
237,HSRE067,Television and satellite radio services,Recreation
238,HSRE062,Movie theatres,Recreation
239,HSRE063,Live sporting and performing arts events,Recreation
240,HSRE064,Live sporting events,Recreation
241,HSRE065,Live performing arts events,Recreation
242,HSRE066,"Admission fees to museums, zoos, and other sites",Recreation
243,HSRE091,Use of recreational facilities and fees - other recreational activities,Recreation
244,HSRE146,Sporting services,Recreation
245,HSRE073,Children's camps,Recreation
246,HSRE074,Package trips,Recreation
247,HSRE142,Other recreational services,Recreation
248,HSRV001,Recreational vehicles and associated services,Recreation
249,HSRV020,Purchase of recreational vehicles,Recreation
250,HSRV003,Purchase of motorcycles and snowmobiles,Recreation
251,HSRV003A,Purchase of motorcycles,Recreation
252,HSRV003B,Purchase of snowmobiles,Recreation
253,HSRV004,Purchase of all-terrain vehicles,Recreation
254,HSRV007,Purchase of bicycles,Recreation
255,HSRV005,Purchase of other recreational vehicles,Recreation
256,HSRV005B,Purchase of fifth wheel/travel trailers,Recreation
257,HSRV005M1,Non-motorized watercrafts and Motorized watercrafts,Recreation
258,HSRV005M2,"Tent trailers, travel trailers, truck campers, motorhomes, utility trailers and other types of recreational vehicles",Recreation
259,HSRV010,Operation of recreational vehicles,Recreation
260,HSRV011,Insurance premiums for recreational vehicles,Recreation
261,HSRV012,Registration fees and licenses for recreational vehicles,Recreation
262,HSRV016,"Parking, storage fees and other dues",Recreation
263,HSRV081,Other expenses for recreational vehicles,Recreation
264,HSRV013,Expenses for rented or leased recreational vehicles,Recreation
265,HSRV021,Supplies and parts for recreational vehicles,Recreation
266,HSRV022,Maintenance and repairs for recreational vehicles,Recreation
267,HSRO001,Reading materials and other printed matter,Reading Material
268,HSRO002,Newspapers,Reading Material
269,HSRO003,Magazines and periodicals,Reading Material
270,HSRO005,"Maps, sheet music and other printed matter",Reading Material
271,HSRO004,Books and E-Books (excluding school books),Reading Material
272,HSRO010,Services related to reading materials (e.g. photocopying/library fees),Reading Material
273,HSTA018,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Tobacco and alcohol
274,HSTA005,Alcoholic beverages,Tobacco and alcohol
275,HSTA006,Alcoholic beverages served on licensed premises and in restaurants,Tobacco and alcohol
276,HSTA007,Alcoholic beverages purchased from stores,Tobacco and alcohol
277,HSTA009,Beer,Tobacco and alcohol
278,HSTA010,Other alcoholic beverages purchased from stores,Tobacco and alcohol
279,HSTA008,Self-made alcoholic beverages,Tobacco and alcohol
280,HSTA002,Tobacco products and smokers' supplies,Tobacco and alcohol
281,HSTA020,Cigarettes,Tobacco and alcohol
282,HSTA015,"Other tobacco products, smokers' supplies and e-cigarettes",Tobacco and alcohol
283,HSTA016,Cannabis for non-medical use,Tobacco and alcohol
284,HSGC001,Games of chance,Games of Chance
285,HSGC002,Government-run lotteries,Games of Chance
286,HSGC003,Other games of chance,Games of Chance
287,HSGC010,"Casinos, bingos and gaming machines",Games of Chance
288,HSGC003A,"Casinos, slot machines, and video lottery terminals",Games of Chance
289,HSGC003B,Bingos,Games of Chance
290,HSGC003C,Non-government lotteries and raffle tickets,Games of Chance
291,HSME001,Miscellaneous expenditures,Miscellaneous expenditures
292,HSME040,Other miscellaneous goods and services,Miscellaneous expenditures
293,HSME036,Fines,Miscellaneous expenditures
294,HSME012,Legal services not related to dwellings,Miscellaneous expenditures
295,HSME045,Dues to unions and professional associations,Miscellaneous expenditures
296,HSME014,Contributions and dues for social clubs and other organizations,Miscellaneous expenditures
297,HSME037,Funeral services,Miscellaneous expenditures
298,HSME016,Government services,Miscellaneous expenditures
299,HSME017,Wholesale/retail memberships,Miscellaneous expenditures
300,HSME024,Convenience fees,Miscellaneous expenditures
301,HSME021,Other goods and services,Miscellaneous expenditures
302,HSME019,Recycling fees and other environmental fees,Miscellaneous expenditures
303,HSME020,Other general expenditures,Miscellaneous expenditures
304,HSME039,Financial services,Miscellaneous expenditures
305,HSME030,Service charges for banks and other financial institutions,Miscellaneous expenditures
306,HSME038,Administration fees for brokers and stock and bond commissions,Miscellaneous expenditures
307,HSME006,Other financial services,Miscellaneous expenditures
308,HSSH001,Shelter,Shelter
309,HSSH002,Principal accommodation,Shelter
310,HSSH003,Rented principal residence,Shelter
311,HSSH004,Rent,Shelter
312,HSSH053,Annual rent payment,Shelter
313,HSSH054,Additional amounts paid to the landlord,Shelter
314,HSSH005,Tenants' repairs and improvements,Shelter
315,HSSH006,Tenants' insurance premiums,Shelter
316,HSSH007,Parking at rented living quarters (excl. amounts reported with rent),Shelter
317,HSSH010,Owned principal residence,Shelter
318,HSSH011,Mortgage paid on the owned principal residence,Shelter
319,HSSH013,Condominium fees for owned principal residence,Shelter
320,HSSH014,Property and school taxes for owned principal residence,Shelter
321,HSSH015,Homeowners' property insurance for owned principal residence,Shelter
322,HSSH016,Other expenditures for owned principal residence,Shelter
323,HSSH017,Real estate commissions paid for the sale of principal residence(s),Shelter
324,HSSH018,Legal charges related to owned principal residence,Shelter
325,HSSH019,Premiums for mortgage-related insurance for owned principal residence,Shelter
326,HSSH020,All other expenses related to the owned principal residence,Shelter
327,HSSH021,"Registration fees, renewal fees and early renewal or closing penalties",Shelter
328,HSSH022,Land transfer taxes and land registration fees for purchased principial residences,Shelter
329,HSSH082,Repairs and maintenance of all owned principal residences,Shelter
330,HSOI040Z,Spending on non-contract work/labour of total spending for repairs/maintenance,Shelter
331,HSOI040,Spending on contract work/labour of total spending for repairs/maintenance,Shelter
332,HSSH082B,Repairs and maintenance to owned principal residence,Shelter
332,HSSH082B,Repairs and maintenance to owned principal residence,Shelter
333,HSRM002A,Exterior painting or staining,Remodeling and Repairs
334,HSRM002B,Interior painting or wallpapering,Remodeling and Repairs
335,HSRM003A,Interior walls and ceilings,Remodeling and Repairs
336,HSRM003B,Caulking and weather stripping,Remodeling and Repairs
337,HSRM004,Insulation,Remodeling and Repairs
338,HSRM005,"Fences, driveways, patios, swimming pools, hot tubs and ponds",Remodeling and Repairs
339,HSRM006,Roofs,Remodeling and Repairs
340,HSRM007,Eavestroughing,Remodeling and Repairs
341,HSRM008M,"Exterior walls, siding, soffits, facia, chimneys and concrete basement floor",Remodeling and Repairs
342,HSRM009A,Windows and exterior doors,Remodeling and Repairs
343,HSRM009B,Interior doors,Remodeling and Repairs
344,HSRM010,Hard surface flooring and wall-to-wall carpeting,Remodeling and Repairs
345,HSRM011,Plumbing fixtures and equipment,Remodeling and Repairs
346,HSRM012,Septic systems and wells,Remodeling and Repairs
347,HSRM013,Heating and/or air conditioning equipment,Remodeling and Repairs
348,HSRM015M,Electrical fixtures and equipment and home security devices,Remodeling and Repairs
349,HSRM016,Other repairs and maintenance,Remodeling and Repairs
350,HSSH030,"Water, fuel and electricity for principal accommodation",Shelter
351,HSSH030A,Water and sewage for principal accommodation,Shelter
352,HSSH030B,Electricity for principal accommodation,Shelter
353,HSSH030C,Natural gas for principal accommodation,Shelter
354,HSSH034,Other fuel for principal accommodation,Shelter
355,HSSH034A,Propane for principal accommodation,Shelter
356,HSSH034B,"Heating oil, wood and other fuel for principal accommodation",Shelter
357,HSSH040,Other accommodation,Shelter
358,HSSH041,Owned secondary residences,Shelter
359,HSSH042,Mortgage paid on owned secondary residences,Shelter
360,HSSH044,Property insurance for owned secondary residences,Shelter
361,HSSH046,Other expenses for owned secondary residences,Shelter
362,HSSH046A,Other expenses associated with owned secondary residences,Shelter
363,HSSH046B,Real estate commissions paid for the sale of secondary residence(s),Shelter
364,HSSH046C,Repairs and maintenance of owned secondary residences,Shelter
365,HSSH060,Communication and security services for owned secondary residences,Shelter
366,HSSH061,"Property/school taxes, water/sewage charges for owned secondary residences",Shelter
367,HSSH062,Electricity and fuel for owned secondary residences,Shelter
368,HSSH047,Other owned properties,Shelter
369,HSSH047A,Mortgage paid on other owned property(ies),Shelter
370,HSSH047C,Repairs and improvements of other owned property(ies),Shelter
371,HSSH047M,Real estate commissions paid for the sale and other expenses associated with other owned property,Shelter
372,HSSH050,Accommodation away from home,Shelter
373,HSSH051,Hotels and motels,Shelter
374,HSSH052,Other accommodation away from home,Shelter
375,HSCL030,Clothing and accessories,Clothing
376,HSCL029,Women's and girls' wear (14 years and over),Clothing
377,HSCL027,Clothing (women and girls),Clothing
378,HSCL028,Footwear (women and girls),Clothing
379,HSCL026,Men's and boys' wear (14 years and over),Clothing
380,HSCL024,Clothing (men and boys),Clothing
381,HSCL025,Footwear (men and boys),Clothing
382,HSCL023,Children's wear (under 14 years),Clothing
383,HSCL021,Clothing and cloth diapers (children),Clothing
384,HSCL022,Footwear (children),Clothing
385,HSCL020,Athletic footwear,Clothing
386,HSCL019,Accessories,Clothing
387,HSCL018,Watches and jewellery,Clothing
388,HSCL017,"Clothing material, yarn, thread and other notions",Clothing
389,HSCL016,Clothing services,Clothing
390,HSCL014,"Laundromats, dry-cleaning and laundry services",Clothing
391,HSCL015,"Services for clothing, footwear and jewellery",Clothing
392,HSED002,Education,Education
393,HSED003,Tuition fees,Education
394,HSED004,"Tuition fees for kindergarten, elementary and secondary schools",Education
395,HSED005,Tuition fees for university,Education
396,HSED006,Tuition fees for other post-secondary education,Education
397,HSED007,Other educational services,Education
398,HSED008,Other courses and lessons,Education
399,HSED030,Textbooks and school supplies,Education
400,HSED025,School supplies,Education
401,HSED024,Textbooks,Education
402,HSEP011,Personal insurance premiums and retirement/pension fund contributions,Premiums and pension contributions
403,HSEP012,Employment insurance and Quebec parental insurance premiums,Premiums and pension contributions
404,HSEP015,Retirement and pension fund payments,Premiums and pension contributions
405,HSEP013,Canada and Quebec pension plan contributions,Premiums and pension contributions
406,HSEP014,Employer pension plan contributions,Premiums and pension contributions
407,HSEP007,"Premiums on life, term and endowment insurance",Premiums and pension contributions
408,HSMG001,"Gifts of money, support payments and charitable contributions",Money Gifts
409,HSMG002,Gifts of money and support payments,Money Gifts
410,HSMG003,Gifts of money to persons living in Canada,Money Gifts
411,HSMG004,Gifts of money to persons living outside Canada,Money Gifts
412,HSMG010,Alimony and child support,Money Gifts
413,HSMG009,Charitable contributions,Money Gifts
414,HSTE001ZB,Total Non Current Consumption,Real Estate
415,HSWH040,Net purchase price of owned residences,Real Estate
416,HSWH021,Purchase price of principal residence(s) (bought in survey year),Real Estate
417,HSWH022,Selling price of principal residence(s) (sold in survey year),Real Estate
418,HSWH041,Net purchase price of owned secondary residences,Real Estate
419,HSWH026,Purchase price of secondary residences (bought in survey year),Real Estate
420,HSWH027,Selling price of secondary residences (sold in survey year),Real Estate
421,HSWH042,Net purchase price of other owned properties,Real Estate
422,HSWH031,Purchase price of other properties (bought in survey year),Real Estate
423,HSWH032,Selling price of other properties (sold in survey year),Real Estate
424,HSWH050,Owned principal residence improvements and renovations,Real Estate
425,HSOI030Z,Spending on non-contract work/labour of total spending on improvements/renovations,Real Estate
426,HSOI030,Spending on contract work/labour of total spending on improvements/renovations,Real Estate
427,HSWH028,Improvements and renovations of secondary residences,Real Estate
428,HSWH050B,Improvements and alterations to owned principal residence,Real Estate
429,HSWH003A,Exterior additions or extensions,Real Estate
430,HSWH003B,Interior additions or extensions,Real Estate
431,HSWH005,Insulation,Real Estate
432,HSWH006,"Fences, driveways, patios, swimming pools, hot tubs and major landscaping projects",Real Estate
433,HSWH007,Complete re-roofing,Real Estate
434,HSWH008,Eavestroughing,Real Estate
435,HSWH009M,"Concrete basement floor, exterior walls, siding, soffits, facia, chimneys and foundations",Real Estate
436,HSWH010A,Windows and exterior doors,Real Estate
437,HSWH010B,Interior windows and doors,Real Estate
438,HSWH011,Hard surface flooring,Real Estate
439,HSWH012,Plumbing fixtures and equipment,Real Estate
440,HSWH013,Septic systems and wells,Real Estate
441,HSWH014,Heating and/or air conditioning equipment,Real Estate
442,HSWH015,Home Security Devices,Real Estate
443,HSWH016,Central vacuums,Real Estate
444,HSWH017,Other,Real Estate
445,HSWH100,Renovating/remodelling of rooms,Real Estate
446,HSWH101,Finishing the basement,Real Estate
