Variable,Description,Category,Change Type
HSCM001D,Men (aged 15 and over): Accessories,Clothing,No Longer Available
HSCM001B,Men (aged 15 and over): Athletic footwear,Clothing,No Longer Available
HSCM001A,Men (aged 15 and over): Clothing,Clothing,No Longer Available
HSCM001F,Men (aged 15 and over): Jewellery,Clothing,No Longer Available
HSCM001C,Men (aged 15 and over): Other footwear,Clothing,No Longer Available
HSCM001E,Men (aged 15 and over): Watches,Clothing,No Longer Available
HSCM001,Men's and boys' clothing (4 years and over),Clothing,No Longer Available
HSCM201,Men's and Boys' wear (14 years old and over),Clothing,No Longer Available
HSCM101,Men's and Boys' wear (4 to 13 years old),Clothing,No Longer Available
HSCF001D,Women (aged 15 and over): Accessories,Clothing,No Longer Available
HSCF001B,Women (aged 15 and over): Athletic footwear,Clothing,No Longer Available
HSCF001A,Women (aged 15 and over): Clothing,Clothing,No Longer Available
HSCF001F,Women (aged 15 and over): Jewellery,Clothing,No Longer Available
HSCF001C,Women (aged 15 and over): Other footwear,Clothing,No Longer Available
HSCF001E,Women (aged 15 and over): Watches,Clothing,No Longer Available
HSCF001,Women's and girls' clothing (4 years and over),Clothing,No Longer Available
HSCF201,Women's and Girls' wear (14 years old and over),Clothing,No Longer Available
HSCF101,Women's and Girls' wear (4 to 13 years old),Clothing,No Longer Available
HSED010,School supplies,Education,No Longer Available
HSED020,Textbooks,Education,No Longer Available
HSMG007,Charitable contributions to religious organizations,Gifts of Money and Contributions,No Longer Available
HSMG008,Contributions to other charitable organizations,Gifts of Money and Contributions,No Longer Available
HSMG005,Support payments to a former spouse or partner,Gifts of Money and Contributions,No Longer Available
HSMG006,Total charitable contributions,Gifts of Money and Contributions,No Longer Available
HSGS002,Goods and services purchased outside Canada,Goods and Services by Purchase Method,No Longer Available
HSGS000Z,Other,Goods and Services by Purchase Method,No Longer Available
HSTT001B,Total expenditure,Goods and Services by Purchase Method,No Longer Available
HSHC024,Dental plan premiums,Health Care,No Longer Available
HSHC004A,Health care supplies and equipment,Health Care,No Longer Available
HSHC004B,Other medicines and pharmaceutical products,Health Care,No Longer Available
HSHC023,Private health care plan premiums,Health Care,No Longer Available
HSCL001S,Clothing,Household Expenditures (Category Summary),No Longer Available
HSWH002S,Improvements and alterations to owned principal residence,Household Expenditures (Category Summary),No Longer Available
HSTA001S,Tobacco products and alcoholic beverages,Household Expenditures (Category Summary),No Longer Available
HSEP001S,Total personal insurance premiums and retirement/pension contributions,Household Expenditures (Category Summary),No Longer Available
HSHF005B,Antiques,Household Furnishings and Equipment,No Longer Available
HSHF005,"Art, antiques and decorative ware",Household Furnishings and Equipment,No Longer Available
HSHE005,Cooking appliances,Household Furnishings and Equipment,No Longer Available
HSHE007,Dishwashers,Household Furnishings and Equipment,No Longer Available
